ID,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
tt13451520,Adyathe Maravi,2019,14 min,-,-,"Short, Thriller            ",malayalam
tt1645083,Hum Ek Hain,1961,-,-,-,Drama            ,urdu
tt0334187,Puzha,1980,-,-,-,-,malayalam
tt13821112,Common Opinion,2016,10 min,-,-,"Documentary, Short            ",urdu
tt0290258,Paandav,1995,132 min,4.1,533,"Action, Drama            ",hindi
tt0322943,Khaidi,1987,-,-,-,-,telugu
tt0029518,Savitri,1937,136 min,-,-,Fantasy            ,hindi
tt1830782,Raam,2009,149 min,6.6,136,"Comedy, Drama            ",kannada
tt4540998,Police Lock Up,1992,-,-,-,Action            ,hindi
tt1954206,The Dirty Picture,2011,145 min,6.6,"8,815","Biography, Comedy, Drama            ",tamil
tt0158711,Kurbani,1943,-,6.6,5,-,hindi
tt13595374,Nepal First Jagad Guru - Yogiraj Swami Documentary,2020,-,-,-,Documentary            ,nepali
tt8447590,Lawaris: Karachi's Unknown Dead,2019,-,-,-,"Documentary, Short            ",urdu
tt11203758,Rakhewal,2019,130 min,-,-,Drama            ,gujarati
tt14142936,Kanasu Maratakkide,2021,132 min,-,-,Drama            ,kannada
tt0232291,Pati Patni Aur Tawaif,1990,-,4.3,40,"Drama, Family            ",hindi
-,777 Charlie,,136 min,-,-,"Adventure, Comedy, Drama            ",tamil
tt10305296,Dholo Mara Malak No,1998,-,-,-,Drama            ,gujarati
tt0317973,Pambaram,1979,-,-,-,-,malayalam
-,Raj Shahenshah,,122 min,-,-,Drama            ,bhojpuri
-,Love You Dhaka,,-,-,-,Drama            ,bengali
tt9602804,The Last Color,2019,90 min,7.7,740,Drama            ,hindi
tt0229966,Aji Bas Shukriya,1958,-,6.2,10,"Comedy, Drama, Musical            ",hindi
-,Avatar Purusha,,-,-,-,Comedy            ,kannada
tt0157526,Delhi Durbar,1956,-,-,-,-,hindi
tt0231261,Bhartruhari,1932,-,-,-,Fantasy            ,hindi
tt5310562,Teer,1954,-,-,-,Drama            ,hindi
tt13070794,Eppothum Vendran,2014,138 min,-,-,Drama            ,tamil
-,Rubik's Cube,,134 min,-,-,Drama            ,marathi
tt2742176,Prem Paigham,1989,-,-,-,Romance            ,hindi
tt0117672,Smuggler,1996,-,4.4,17,"Action, Crime            ",hindi
